Vin,Iout,V_diode
1.3467336683417086,0.0006929999999999999,0.651
1.3567839195979901,0.000703,0.651
1.3668341708542713,0.000713,0.652
1.3768844221105527,0.000723,0.652
1.3869346733668342,0.000732,0.653
1.3969849246231156,0.0007419999999999999,0.653
1.4070351758793971,0.000752,0.653
1.4170854271356783,0.000761,0.654
1.4271356783919598,0.000771,0.654
1.4371859296482412,0.00078,0.654
1.4472361809045227,0.00079,0.655
1.4572864321608041,0.0007999999999999999,0.655
1.4673366834170853,0.0008089999999999999,0.655
1.4773869346733668,0.000819,0.656
1.4874371859296482,0.000829,0.656
1.4974874371859297,0.000839,0.656
1.5075376884422111,0.0008489999999999999,0.657
1.5175879396984926,0.000859,0.657
1.5276381909547738,0.000869,0.657
1.5376884422110553,0.000879,0.658
1.5477386934673367,0.000888,0.658
1.5577889447236182,0.0008979999999999999,0.658
1.5678391959798996,0.000908,0.658
1.5778894472361809,0.000918,0.659
1.5879396984924623,0.000928,0.659
1.5979899497487438,0.000937,0.659
1.6080402010050252,0.0009469999999999999,0.66
1.6180904522613067,0.000957,0.66
1.6281407035175879,0.000967,0.66
1.6381909547738693,0.000977,0.66
1.6482412060301508,0.000986,0.661
1.6582914572864322,0.000997,0.661
1.6683417085427137,0.001006,0.661
1.6783919597989949,0.001016,0.661
1.6884422110552764,0.001026,0.662
1.6984924623115578,0.001035,0.662
1.7085427135678393,0.001045,0.662
1.7185929648241207,0.001054,0.662
1.7286432160804019,0.001064,0.663
1.7386934673366834,0.0010739999999999999,0.663
1.7487437185929648,0.001084,0.663
1.7587939698492463,0.001094,0.663
1.7688442211055277,0.001104,0.664
1.778894472361809,0.001114,0.664
1.7889447236180904,0.001125,0.664
1.7989949748743719,0.001134,0.664
1.8090452261306533,0.001143,0.665
1.8190954773869348,0.001153,0.665
1.829145728643216,0.001163,0.665
1.8391959798994975,0.0011719999999999999,0.665
1.8492462311557789,0.0011819999999999999,0.666
1.8592964824120604,0.001192,0.666
1.8693467336683418,0.001202,0.666
1.879396984924623,0.0012109999999999998,0.666
1.8894472361809045,0.0012209999999999999,0.667
1.8994974874371859,0.0012309999999999999,0.667
1.9095477386934674,0.001241,0.667
1.9195979899497488,0.001251,0.667
1.9296482412060301,0.0012599999999999998,0.667
1.9396984924623115,0.0012699999999999999,0.667
1.949748743718593,0.001279,0.668
1.9597989949748744,0.001289,0.668
1.9698492462311559,0.001299,0.668
1.9798994974874373,0.001308,0.668
1.9899497487437185,0.001318,0.669
2.0,0.001328,0.669
