v3, V(vx), V(vy), V(vz)
Step Information: V1=0  (Run: 1/11)
3.000000000000000e-001, 3.000000e-001, 1.000000e+000, 1.043909e+000
4.000000000000000e-001, 4.000000e-001, 1.000000e+000, 1.076997e+000
5.000000000000000e-001, 5.000000e-001, 1.000000e+000, 1.117408e+000
6.000000000000000e-001, 6.000000e-001, 1.000000e+000, 1.165734e+000
7.000000000000000e-001, 7.000000e-001, 1.000000e+000, 1.220410e+000
7.999999999999999e-001, 8.000000e-001, 1.000000e+000, 1.280458e+000
8.999999999999999e-001, 9.000000e-001, 1.000000e+000, 1.345237e+000
9.999999999999999e-001, 1.000000e+000, 1.000000e+000, 1.414116e+000
1.100000000000000e+000, 1.100000e+000, 1.000000e+000, 1.486528e+000
1.200000000000000e+000, 1.200000e+000, 1.000000e+000, 1.561983e+000
1.300000000000000e+000, 1.300000e+000, 1.000000e+000, 1.640063e+000
1.400000000000000e+000, 1.400000e+000, 1.000000e+000, 1.720412e+000
1.500000000000000e+000, 1.500000e+000, 1.000000e+000, 1.802725e+000
1.600000000000000e+000, 1.600000e+000, 1.000000e+000, 1.886748e+000
1.700000000000000e+000, 1.700000e+000, 1.000000e+000, 1.972261e+000
1.800000000000001e+000, 1.800000e+000, 1.000000e+000, 2.059080e+000
1.900000000000001e+000, 1.900000e+000, 1.000000e+000, 2.147045e+000
2.000000000000000e+000, 2.000000e+000, 1.000000e+000, 2.236022e+000
2.100000000000001e+000, 2.100000e+000, 1.000000e+000, 2.325894e+000
2.200000000000001e+000, 2.200000e+000, 1.000000e+000, 2.416563e+000
2.300000000000001e+000, 2.300000e+000, 1.000000e+000, 2.507940e+000
2.400000000000001e+000, 2.400000e+000, 1.000000e+000, 2.599952e+000
2.500000000000001e+000, 2.500000e+000, 1.000000e+000, 2.692534e+000
2.600000000000001e+000, 2.600000e+000, 1.000000e+000, 2.785629e+000
2.700000000000001e+000, 2.700000e+000, 1.000000e+000, 2.879186e+000
2.800000000000001e+000, 2.800000e+000, 1.000000e+000, 2.973163e+000
2.900000000000001e+000, 2.900000e+000, 1.000000e+000, 3.067521e+000
3.000000000000001e+000, 3.000000e+000, 1.000000e+000, 3.162225e+000
3.100000000000001e+000, 3.100000e+000, 1.000000e+000, 3.257246e+000
3.200000000000002e+000, 3.200000e+000, 1.000000e+000, 3.352557e+000
3.300000000000002e+000, 3.300000e+000, 1.000000e+000, 3.448133e+000
3.400000000000002e+000, 3.400000e+000, 1.000000e+000, 3.543953e+000
3.500000000000002e+000, 3.500000e+000, 1.000000e+000, 3.639998e+000
3.600000000000002e+000, 3.600000e+000, 1.000000e+000, 3.736251e+000
3.700000000000002e+000, 3.700000e+000, 1.000000e+000, 3.832695e+000
3.800000000000002e+000, 3.800000e+000, 1.000000e+000, 3.929317e+000
3.900000000000002e+000, 3.900000e+000, 1.000000e+000, 4.026104e+000
4.000000000000002e+000, 4.000000e+000, 1.000000e+000, 4.123045e+000
4.100000000000001e+000, 4.100000e+000, 1.000000e+000, 4.220128e+000
4.200000000000001e+000, 4.200000e+000, 1.000000e+000, 4.317344e+000
4.300000000000001e+000, 4.300000e+000, 1.000000e+000, 4.414684e+000
4.400000000000000e+000, 4.400000e+000, 1.000000e+000, 4.512141e+000
4.500000000000000e+000, 4.500000e+000, 1.000000e+000, 4.609707e+000
4.600000000000000e+000, 4.600000e+000, 1.000000e+000, 4.707375e+000
4.699999999999999e+000, 4.700000e+000, 1.000000e+000, 4.805138e+000
4.799999999999999e+000, 4.800000e+000, 1.000000e+000, 4.902992e+000
4.899999999999999e+000, 4.900000e+000, 1.000000e+000, 5.000931e+000
5.000000000000000e+000, 5.000000e+000, 1.000000e+000, 5.098949e+000
Step Information: V1=1.5  (Run: 4/11)
0.000000000000000e+000, 0.000000e+000, 1.500000e+000, 1.499969e+000
1.000000000000000e-001, 1.000000e-001, 1.500000e+000, 1.503297e+000
2.000000000000000e-001, 2.000000e-001, 1.500000e+000, 1.513230e+000
3.000000000000000e-001, 3.000000e-001, 1.500000e+000, 1.529620e+000
4.000000000000000e-001, 4.000000e-001, 1.500000e+000, 1.552380e+000
5.000000000000000e-001, 5.000000e-001, 1.500000e+000, 1.580713e+000
6.000000000000000e-001, 6.000000e-001, 1.500000e+000, 1.615232e+000
7.000000000000000e-001, 7.000000e-001, 1.500000e+000, 1.655106e+000
7.999999999999999e-001, 8.000000e-001, 1.500000e+000, 1.699859e+000
8.999999999999999e-001, 9.000000e-001, 1.500000e+000, 1.749171e+000
9.999999999999999e-001, 1.000000e+000, 1.500000e+000, 1.802679e+000
1.100000000000000e+000, 1.100000e+000, 1.500000e+000, 1.860024e+000
1.200000000000000e+000, 1.200000e+000, 1.500000e+000, 1.920864e+000
