I_x(Ch1),I_z(Ch2)
0.00013694500138392414,-3.3e-09
0.00014342554407501817,-3.3e-09
0.00015021276049021075,-3.3e-09
0.00015732116311364611,-3.3e-09
0.00016476595119256486,-3.3e-09
0.00017256304323646235,-3.3e-09
0.00018072911105418283,-3.3e-09
0.00018928161540172442,-3.3e-09
0.000198238843316975,-3.3e-09
0.00020761994722121404,-3.3e-09
0.0002174449858709829,-3.3e-09
0.00022773496724789105,-3.3e-09
0.0002385118934780594,-3.3e-09
0.00024979880787725562,-3.3e-09
0.00026161984422231043,-3.3e-09
0.00027400027835416241,-3.3e-09
0.00028696658222287911,-3.3e-09
0.00030054648049020595,-3.3e-09
0.00031476900981067718,-3.3e-09
0.00032966458091803521,-3.3e-09
0.00034526504364972303,-3.3e-09
0.00036160375504848115,-3.3e-09
0.00037871565068665718,-3.3e-09
0.00039663731936574807,-3.3e-09
0.00041540708135088649,-3.3e-09
0.00043506507030756266,-3.3e-09
0.00045565331911576597,-3.3e-09
0.00047721584974505044,-3.3e-09
0.00049979876738268938,-3.4000000000000003e-09
0.00052345035901617493,-3.3e-09
0.00054822119668087135,-3.3e-09
0.00057416424559357103,-3.3e-09
0.00060133497740317849,-3.4000000000000003e-09
0.00062979148880065706,-3.4000000000000003e-09
0.00065959462574187314,-3.4000000000000003e-09
0.0006908081135489438,-3.4000000000000003e-09
0.00072349869316825645,-3.4000000000000003e-09
0.00075773626387653657,-3.4000000000000003e-09
0.0007935940327400753,-3.4000000000000003e-09
0.00083114867114671121,-3.4000000000000003e-09
0.00087048047874523668,-3.4000000000000003e-09
0.00091167355514280043,-3.4000000000000003e-09
0.00095481597972740199,-3.4000000000000003e-09
0.001,-3.4000000000000003e-09
