v1	V(v_1)	V(v_2)	V(vout)	I(V3)
-6.300000000000094e-001	1.870000e+000	2.500000e+000	2.500000e+000	-4.733091e-005
-6.200000000000094e-001	1.880000e+000	2.500000e+000	2.500000e+000	-4.641790e-005
-6.100000000000094e-001	1.890000e+000	2.500000e+000	2.500000e+000	-4.550036e-005
-6.000000000000094e-001	1.900000e+000	2.500000e+000	2.500000e+000	-4.457953e-005
-5.900000000000094e-001	1.910000e+000	2.500000e+000	2.500000e+000	-4.365688e-005
-5.800000000000094e-001	1.920000e+000	2.500000e+000	2.500000e+000	-4.273386e-005
-5.700000000000094e-001	1.930000e+000	2.500000e+000	2.500000e+000	-4.181176e-005
-5.600000000000094e-001	1.940000e+000	2.500000e+000	2.500000e+000	-4.089157e-005
-5.500000000000094e-001	1.950000e+000	2.500000e+000	2.500000e+000	-3.997407e-005
-5.400000000000094e-001	1.960000e+000	2.500000e+000	2.500000e+000	-3.905984e-005
-5.300000000000094e-001	1.970000e+000	2.500000e+000	2.500000e+000	-3.814931e-005
-5.200000000000093e-001	1.980000e+000	2.500000e+000	2.500000e+000	-3.724281e-005
-5.100000000000093e-001	1.990000e+000	2.500000e+000	2.500000e+000	-3.634062e-005
-5.000000000000093e-001	2.000000e+000	2.500000e+000	2.500000e+000	-3.544294e-005
-4.900000000000093e-001	2.010000e+000	2.500000e+000	2.500000e+000	-3.454996e-005
-4.800000000000093e-001	2.020000e+000	2.500000e+000	2.500000e+000	-3.366187e-005
-4.700000000000093e-001	2.030000e+000	2.500000e+000	2.500000e+000	-3.277879e-005
-4.600000000000093e-001	2.040000e+000	2.500000e+000	2.500000e+000	-3.190087e-005
-4.500000000000093e-001	2.050000e+000	2.500000e+000	2.500000e+000	-3.102824e-005
-4.400000000000093e-001	2.060000e+000	2.500000e+000	2.500000e+000	-3.016104e-005
-4.300000000000093e-001	2.070000e+000	2.500000e+000	2.500000e+000	-2.929938e-005
-4.200000000000093e-001	2.080000e+000	2.500000e+000	2.500000e+000	-2.844339e-005
-4.100000000000093e-001	2.090000e+000	2.500000e+000	2.500000e+000	-2.759317e-005
-4.000000000000092e-001	2.100000e+000	2.500000e+000	2.500000e+000	-2.674886e-005
-3.900000000000092e-001	2.110000e+000	2.500000e+000	2.500000e+000	-2.591055e-005
-3.800000000000092e-001	2.120000e+000	2.500000e+000	2.500000e+000	-2.507838e-005
-3.700000000000092e-001	2.130000e+000	2.500000e+000	2.500000e+000	-2.425245e-005
-3.600000000000092e-001	2.140000e+000	2.500000e+000	2.500000e+000	-2.343288e-005
-3.500000000000092e-001	2.150000e+000	2.500000e+000	2.500000e+000	-2.261979e-005
-3.400000000000092e-001	2.160000e+000	2.500000e+000	2.500000e+000	-2.181330e-005
-3.300000000000092e-001	2.170000e+000	2.500000e+000	2.500000e+000	-2.101354e-005
-3.200000000000092e-001	2.180000e+000	2.500000e+000	2.500000e+000	-2.022063e-005
-3.100000000000092e-001	2.190000e+000	2.500000e+000	2.500000e+000	-1.943473e-005
-3.000000000000092e-001	2.200000e+000	2.500000e+000	2.500000e+000	-1.865598e-005
-2.900000000000091e-001	2.210000e+000	2.500000e+000	2.500000e+000	-1.788455e-005
-2.800000000000091e-001	2.220000e+000	2.500000e+000	2.500000e+000	-1.712063e-005
-2.700000000000091e-001	2.230000e+000	2.500000e+000	2.500000e+000	-1.636442e-005
-2.600000000000091e-001	2.240000e+000	2.500000e+000	2.500000e+000	-1.561617e-005
-2.500000000000091e-001	2.250000e+000	2.500000e+000	2.500000e+000	-1.487611e-005
-2.400000000000091e-001	2.260000e+000	2.500000e+000	2.500000e+000	-1.414452e-005
-2.300000000000091e-001	2.270000e+000	2.500000e+000	2.500000e+000	-1.342170e-005
-2.200000000000091e-001	2.280000e+000	2.500000e+000	2.500000e+000	-1.270798e-005
-2.100000000000091e-001	2.290000e+000	2.500000e+000	2.500000e+000	-1.200368e-005
-2.000000000000091e-001	2.300000e+000	2.500000e+000	2.500000e+000	-1.130903e-005
-1.900000000000091e-001	2.310000e+000	2.500000e+000	2.500000e+000	-1.062423e-005
-1.800000000000090e-001	2.320000e+000	2.500000e+000	2.500000e+000	-9.949419e-006
-1.700000000000090e-001	2.330000e+000	2.500000e+000	2.500000e+000	-9.284720e-006
-1.600000000000090e-001	2.340000e+000	2.500000e+000	2.500000e+000	-8.630240e-006
-1.500000000000090e-001	2.350000e+000	2.500000e+000	2.500000e+000	-7.986079e-006
-1.400000000000090e-001	2.360000e+000	2.500000e+000	2.500000e+000	-7.352332e-006
-1.300000000000090e-001	2.370000e+000	2.500000e+000	2.500000e+000	-6.729090e-006
-1.200000000000090e-001	2.380000e+000	2.500000e+000	2.500000e+000	-6.116442e-006
-1.100000000000090e-001	2.390000e+000	2.500000e+000	2.500000e+000	-5.514473e-006
-1.000000000000090e-001	2.400000e+000	2.500000e+000	2.500000e+000	-4.923264e-006
-9.000000000000902e-002	2.410000e+000	2.500000e+000	2.500000e+000	-4.342896e-006
-8.000000000000902e-002	2.420000e+000	2.500000e+000	2.500000e+000	-3.773446e-006
-7.000000000000903e-002	2.430000e+000	2.500000e+000	2.500000e+000	-3.214986e-006
-6.000000000000903e-002	2.440000e+000	2.500000e+000	2.500000e+000	-2.667588e-006
-5.000000000000902e-002	2.450000e+000	2.500000e+000	2.500000e+000	-2.131318e-006
-4.000000000000902e-002	2.460000e+000	2.500000e+000	2.500000e+000	-1.606239e-006
-3.000000000000902e-002	2.470000e+000	2.500000e+000	2.500000e+000	-1.092411e-006
-2.000000000000902e-002	2.480000e+000	2.500000e+000	2.500000e+000	-5.898857e-007
-1.000000000000902e-002	2.490000e+000	2.500000e+000	2.500000e+000	-9.870065e-008
-9.017092628127443e-015	2.500000e+000	2.500000e+000	2.500000e+000	3.820541e-007
9.999999999990983e-003	2.510000e+000	2.500000e+000	2.500000e+000	8.663353e-007
1.999999999999098e-002	2.520000e+000	2.500000e+000	2.500000e+000	1.362322e-006
2.999999999999099e-002	2.530000e+000	2.500000e+000	2.500000e+000	1.869081e-006
3.999999999999099e-002	2.540000e+000	2.500000e+000	2.500000e+000	2.386512e-006
4.999999999999099e-002	2.550000e+000	2.500000e+000	2.500000e+000	2.914509e-006
5.999999999999099e-002	2.560000e+000	2.500000e+000	2.500000e+000	3.452958e-006
6.999999999999099e-002	2.570000e+000	2.500000e+000	2.500000e+000	4.001741e-006
7.999999999999098e-002	2.580000e+000	2.500000e+000	2.500000e+000	4.560736e-006
8.999999999999098e-002	2.590000e+000	2.500000e+000	2.500000e+000	5.129819e-006
9.999999999999097e-002	2.600000e+000	2.500000e+000	2.500000e+000	5.708861e-006
1.099999999999910e-001	2.610000e+000	2.500000e+000	2.500000e+000	6.297734e-006
1.199999999999910e-001	2.620000e+000	2.500000e+000	2.500000e+000	6.896305e-006
1.299999999999910e-001	2.630000e+000	2.500000e+000	2.500000e+000	7.504440e-006
1.399999999999910e-001	2.640000e+000	2.500000e+000	2.500000e+000	8.122001e-006
1.499999999999910e-001	2.650000e+000	2.500000e+000	2.500000e+000	8.748842e-006
1.599999999999910e-001	2.660000e+000	2.500000e+000	2.500000e+000	9.384788e-006
1.699999999999910e-001	2.670000e+000	2.500000e+000	2.500000e+000	1.002959e-005
1.799999999999910e-001	2.680000e+000	2.500000e+000	2.500000e+000	1.068284e-005
1.899999999999910e-001	2.690000e+000	2.500000e+000	2.500000e+000	1.134399e-005
1.999999999999910e-001	2.700000e+000	2.500000e+000	2.500000e+000	1.201252e-005
2.099999999999910e-001	2.710000e+000	2.500000e+000	2.500000e+000	1.268799e-005
2.199999999999910e-001	2.720000e+000	2.500000e+000	2.500000e+000	1.337001e-005
2.299999999999910e-001	2.730000e+000	2.500000e+000	2.500000e+000	1.405826e-005
2.399999999999911e-001	2.740000e+000	2.500000e+000	2.500000e+000	1.475247e-005
2.499999999999911e-001	2.750000e+000	2.500000e+000	2.500000e+000	1.545243e-005
2.599999999999911e-001	2.760000e+000	2.500000e+000	2.500000e+000	1.615795e-005
2.699999999999911e-001	2.770000e+000	2.500000e+000	2.500000e+000	1.686888e-005
2.799999999999911e-001	2.780000e+000	2.500000e+000	2.500000e+000	1.758507e-005
2.899999999999911e-001	2.790000e+000	2.500000e+000	2.500000e+000	1.830638e-005
2.999999999999911e-001	2.800000e+000	2.500000e+000	2.500000e+000	1.903270e-005
3.099999999999911e-001	2.810000e+000	2.500000e+000	2.500000e+000	1.976387e-005
3.199999999999911e-001	2.820000e+000	2.500000e+000	2.500000e+000	2.049980e-005
3.299999999999911e-001	2.830000e+000	2.500000e+000	2.500000e+000	2.124035e-005
3.399999999999911e-001	2.840000e+000	2.500000e+000	2.500000e+000	2.198540e-005
3.499999999999912e-001	2.850000e+000	2.500000e+000	2.500000e+000	2.273485e-005
3.599999999999912e-001	2.860000e+000	2.500000e+000	2.500000e+000	2.348856e-005
3.699999999999912e-001	2.870000e+000	2.500000e+000	2.500000e+000	2.424643e-005
3.799999999999912e-001	2.880000e+000	2.500000e+000	2.500000e+000	2.500835e-005
3.899999999999912e-001	2.890000e+000	2.500000e+000	2.500000e+000	2.577419e-005
3.999999999999912e-001	2.900000e+000	2.500000e+000	2.500000e+000	2.654385e-005
4.099999999999912e-001	2.910000e+000	2.500000e+000	2.500000e+000	2.731721e-005
4.199999999999912e-001	2.920000e+000	2.500000e+000	2.500000e+000	2.809416e-005
4.299999999999912e-001	2.930000e+000	2.500000e+000	2.500000e+000	2.887459e-005
