v3	V(v_1)	V(vout)	I(V3)
1.540000000000001e+000	2.500000e+000	1.540000e+000	7.145555e-007
1.550000000000001e+000	2.500000e+000	1.550000e+000	7.111061e-007
1.560000000000001e+000	2.500000e+000	1.560000e+000	7.076588e-007
1.570000000000001e+000	2.500000e+000	1.570000e+000	7.042136e-007
1.580000000000001e+000	2.500000e+000	1.580000e+000	7.007703e-007
1.590000000000001e+000	2.500000e+000	1.590000e+000	6.973289e-007
1.600000000000001e+000	2.500000e+000	1.600000e+000	6.938893e-007
1.610000000000001e+000	2.500000e+000	1.610000e+000	6.904513e-007
1.620000000000001e+000	2.500000e+000	1.620000e+000	6.870150e-007
1.630000000000001e+000	2.500000e+000	1.630000e+000	6.835802e-007
1.640000000000001e+000	2.500000e+000	1.640000e+000	6.801468e-007
1.650000000000001e+000	2.500000e+000	1.650000e+000	6.767147e-007
1.660000000000001e+000	2.500000e+000	1.660000e+000	6.732839e-007
1.670000000000001e+000	2.500000e+000	1.670000e+000	6.698543e-007
1.680000000000001e+000	2.500000e+000	1.680000e+000	6.664258e-007
1.690000000000001e+000	2.500000e+000	1.690000e+000	6.629983e-007
1.700000000000001e+000	2.500000e+000	1.700000e+000	6.595716e-007
1.710000000000001e+000	2.500000e+000	1.710000e+000	6.561459e-007
1.720000000000001e+000	2.500000e+000	1.720000e+000	6.527210e-007
1.730000000000001e+000	2.500000e+000	1.730000e+000	6.492967e-007
1.740000000000001e+000	2.500000e+000	1.740000e+000	6.458731e-007
1.750000000000001e+000	2.500000e+000	1.750000e+000	6.424499e-007
1.760000000000001e+000	2.500000e+000	1.760000e+000	6.390273e-007
1.770000000000001e+000	2.500000e+000	1.770000e+000	6.356050e-007
1.780000000000001e+000	2.500000e+000	1.780000e+000	6.321831e-007
1.790000000000001e+000	2.500000e+000	1.790000e+000	6.287613e-007
1.800000000000001e+000	2.500000e+000	1.800000e+000	6.253398e-007
1.810000000000001e+000	2.500000e+000	1.810000e+000	6.219183e-007
1.820000000000001e+000	2.500000e+000	1.820000e+000	6.184969e-007
1.830000000000001e+000	2.500000e+000	1.830000e+000	6.150754e-007
1.840000000000001e+000	2.500000e+000	1.840000e+000	6.116537e-007
1.850000000000001e+000	2.500000e+000	1.850000e+000	6.082319e-007
1.860000000000001e+000	2.500000e+000	1.860000e+000	6.048098e-007
1.870000000000001e+000	2.500000e+000	1.870000e+000	6.013873e-007
1.880000000000001e+000	2.500000e+000	1.880000e+000	5.979645e-007
1.890000000000002e+000	2.500000e+000	1.890000e+000	5.945411e-007
1.900000000000002e+000	2.500000e+000	1.900000e+000	5.911173e-007
1.910000000000002e+000	2.500000e+000	1.910000e+000	5.876927e-007
1.920000000000002e+000	2.500000e+000	1.920000e+000	5.842675e-007
1.930000000000002e+000	2.500000e+000	1.930000e+000	5.808416e-007
1.940000000000002e+000	2.500000e+000	1.940000e+000	5.774148e-007
1.950000000000002e+000	2.500000e+000	1.950000e+000	5.739871e-007
1.960000000000002e+000	2.500000e+000	1.960000e+000	5.705584e-007
1.970000000000002e+000	2.500000e+000	1.970000e+000	5.671287e-007
1.980000000000002e+000	2.500000e+000	1.980000e+000	5.636979e-007
1.990000000000002e+000	2.500000e+000	1.990000e+000	5.602659e-007
2.000000000000001e+000	2.500000e+000	2.000000e+000	5.568327e-007
2.010000000000001e+000	2.500000e+000	2.010000e+000	5.533982e-007
2.020000000000001e+000	2.500000e+000	2.020000e+000	5.499623e-007
2.030000000000001e+000	2.500000e+000	2.030000e+000	5.465250e-007
2.040000000000001e+000	2.500000e+000	2.040000e+000	5.430861e-007
2.050000000000000e+000	2.500000e+000	2.050000e+000	5.396457e-007
2.060000000000000e+000	2.500000e+000	2.060000e+000	5.362036e-007
2.070000000000000e+000	2.500000e+000	2.070000e+000	5.327598e-007
2.080000000000000e+000	2.500000e+000	2.080000e+000	5.293143e-007
2.089999999999999e+000	2.500000e+000	2.090000e+000	5.258669e-007
2.099999999999999e+000	2.500000e+000	2.100000e+000	5.224176e-007
2.109999999999999e+000	2.500000e+000	2.110000e+000	5.189663e-007
2.119999999999999e+000	2.500000e+000	2.120000e+000	5.155129e-007
2.129999999999999e+000	2.500000e+000	2.130000e+000	5.120574e-007
2.139999999999998e+000	2.500000e+000	2.140000e+000	5.085997e-007
2.149999999999998e+000	2.500000e+000	2.150000e+000	5.051397e-007
2.159999999999998e+000	2.500000e+000	2.160000e+000	5.016774e-007
2.169999999999998e+000	2.500000e+000	2.170000e+000	4.982128e-007
2.179999999999998e+000	2.500000e+000	2.180000e+000	4.947457e-007
2.189999999999997e+000	2.500000e+000	2.190000e+000	4.912760e-007
2.199999999999997e+000	2.500000e+000	2.200000e+000	4.878037e-007
2.209999999999997e+000	2.500000e+000	2.210000e+000	4.843287e-007
2.219999999999997e+000	2.500000e+000	2.220000e+000	4.808510e-007
2.229999999999996e+000	2.500000e+000	2.230000e+000	4.773705e-007
2.239999999999996e+000	2.500000e+000	2.240000e+000	4.738870e-007
2.249999999999996e+000	2.500000e+000	2.250000e+000	4.704006e-007
2.259999999999996e+000	2.500000e+000	2.260000e+000	4.669112e-007
2.269999999999996e+000	2.500000e+000	2.270000e+000	4.634186e-007
2.279999999999995e+000	2.500000e+000	2.280000e+000	4.599229e-007
2.289999999999995e+000	2.500000e+000	2.290000e+000	4.564239e-007
2.299999999999995e+000	2.500000e+000	2.300000e+000	4.529215e-007
2.309999999999995e+000	2.500000e+000	2.310000e+000	4.494158e-007
2.319999999999995e+000	2.500000e+000	2.320000e+000	4.459066e-007
2.329999999999994e+000	2.500000e+000	2.330000e+000	4.423937e-007
2.339999999999994e+000	2.500000e+000	2.340000e+000	4.388773e-007
2.349999999999994e+000	2.500000e+000	2.350000e+000	4.353572e-007
2.359999999999994e+000	2.500000e+000	2.360000e+000	4.318332e-007
2.369999999999993e+000	2.500000e+000	2.370000e+000	4.283054e-007
