v1	V(v_1)	V(v_2)	V(vout)
Step Information: V2=1  (Run: 1/4)
1.130000000000001e+000	1.130000e+000	1.000000e+000	4.590308e+000
1.140000000000001e+000	1.140000e+000	1.000000e+000	4.600038e+000
1.150000000000001e+000	1.150000e+000	1.000000e+000	4.609087e+000
1.160000000000001e+000	1.160000e+000	1.000000e+000	4.617537e+000
1.170000000000001e+000	1.170000e+000	1.000000e+000	4.625453e+000
1.180000000000001e+000	1.180000e+000	1.000000e+000	4.632891e+000
1.190000000000001e+000	1.190000e+000	1.000000e+000	4.639901e+000
1.200000000000001e+000	1.200000e+000	1.000000e+000	4.646523e+000
1.210000000000001e+000	1.210000e+000	1.000000e+000	4.652791e+000
1.220000000000001e+000	1.220000e+000	1.000000e+000	4.658737e+000
1.230000000000001e+000	1.230000e+000	1.000000e+000	4.664388e+000
1.240000000000001e+000	1.240000e+000	1.000000e+000	4.669767e+000
1.250000000000001e+000	1.250000e+000	1.000000e+000	4.674896e+000
1.260000000000001e+000	1.260000e+000	1.000000e+000	4.679793e+000
1.270000000000001e+000	1.270000e+000	1.000000e+000	4.684474e+000
1.280000000000001e+000	1.280000e+000	1.000000e+000	4.688955e+000
1.290000000000001e+000	1.290000e+000	1.000000e+000	4.693250e+000
1.300000000000001e+000	1.300000e+000	1.000000e+000	4.697370e+000
1.310000000000001e+000	1.310000e+000	1.000000e+000	4.701327e+000
1.320000000000001e+000	1.320000e+000	1.000000e+000	4.705131e+000
1.330000000000001e+000	1.330000e+000	1.000000e+000	4.708791e+000
1.340000000000001e+000	1.340000e+000	1.000000e+000	4.712316e+000
1.350000000000001e+000	1.350000e+000	1.000000e+000	4.715712e+000
1.360000000000001e+000	1.360000e+000	1.000000e+000	4.718988e+000
1.370000000000001e+000	1.370000e+000	1.000000e+000	4.722151e+000
1.380000000000001e+000	1.380000e+000	1.000000e+000	4.725206e+000
1.390000000000001e+000	1.390000e+000	1.000000e+000	4.728158e+000
1.400000000000001e+000	1.400000e+000	1.000000e+000	4.731014e+000
1.410000000000001e+000	1.410000e+000	1.000000e+000	4.733778e+000
1.420000000000001e+000	1.420000e+000	1.000000e+000	4.736454e+000
1.430000000000001e+000	1.430000e+000	1.000000e+000	4.739048e+000
1.440000000000001e+000	1.440000e+000	1.000000e+000	4.741562e+000
1.450000000000001e+000	1.450000e+000	1.000000e+000	4.744000e+000
1.460000000000001e+000	1.460000e+000	1.000000e+000	4.746366e+000
1.470000000000001e+000	1.470000e+000	1.000000e+000	4.748663e+000
1.480000000000001e+000	1.480000e+000	1.000000e+000	4.750895e+000
1.490000000000001e+000	1.490000e+000	1.000000e+000	4.753064e+000
1.500000000000001e+000	1.500000e+000	1.000000e+000	4.755172e+000
1.510000000000001e+000	1.510000e+000	1.000000e+000	4.757223e+000
1.520000000000001e+000	1.520000e+000	1.000000e+000	4.759219e+000
1.530000000000001e+000	1.530000e+000	1.000000e+000	4.761161e+000
1.540000000000001e+000	1.540000e+000	1.000000e+000	4.763053e+000
1.550000000000001e+000	1.550000e+000	1.000000e+000	4.764896e+000
1.560000000000001e+000	1.560000e+000	1.000000e+000	4.766692e+000
1.570000000000001e+000	1.570000e+000	1.000000e+000	4.768444e+000
1.580000000000001e+000	1.580000e+000	1.000000e+000	4.770152e+000
1.590000000000001e+000	1.590000e+000	1.000000e+000	4.771818e+000
1.600000000000001e+000	1.600000e+000	1.000000e+000	4.773445e+000
1.610000000000001e+000	1.610000e+000	1.000000e+000	4.775033e+000
1.620000000000001e+000	1.620000e+000	1.000000e+000	4.776584e+000
1.630000000000001e+000	1.630000e+000	1.000000e+000	4.778100e+000
1.640000000000001e+000	1.640000e+000	1.000000e+000	4.779581e+000
1.650000000000001e+000	1.650000e+000	1.000000e+000	4.781030e+000
1.660000000000001e+000	1.660000e+000	1.000000e+000	4.782447e+000
1.670000000000001e+000	1.670000e+000	1.000000e+000	4.783834e+000
1.680000000000001e+000	1.680000e+000	1.000000e+000	4.785192e+000
1.690000000000001e+000	1.690000e+000	1.000000e+000	4.786523e+000
1.700000000000001e+000	1.700000e+000	1.000000e+000	4.787827e+000
1.710000000000001e+000	1.710000e+000	1.000000e+000	4.789106e+000
1.720000000000001e+000	1.720000e+000	1.000000e+000	4.790362e+000
1.730000000000001e+000	1.730000e+000	1.000000e+000	4.791596e+000
1.740000000000001e+000	1.740000e+000	1.000000e+000	4.792811e+000
1.750000000000001e+000	1.750000e+000	1.000000e+000	4.794009e+000
1.760000000000001e+000	1.760000e+000	1.000000e+000	4.795192e+000
1.770000000000001e+000	1.770000e+000	1.000000e+000	4.796364e+000
1.780000000000001e+000	1.780000e+000	1.000000e+000	4.797531e+000
1.790000000000001e+000	1.790000e+000	1.000000e+000	4.798697e+000
1.800000000000001e+000	1.800000e+000	1.000000e+000	4.799867e+000
1.810000000000001e+000	1.810000e+000	1.000000e+000	4.801046e+000
1.820000000000001e+000	1.820000e+000	1.000000e+000	4.802239e+000
1.830000000000001e+000	1.830000e+000	1.000000e+000	4.803450e+000
1.840000000000001e+000	1.840000e+000	1.000000e+000	4.804682e+000
1.850000000000001e+000	1.850000e+000	1.000000e+000	4.805938e+000
1.860000000000001e+000	1.860000e+000	1.000000e+000	4.807219e+000
1.870000000000001e+000	1.870000e+000	1.000000e+000	4.808527e+000
1.880000000000001e+000	1.880000e+000	1.000000e+000	4.809863e+000
1.890000000000002e+000	1.890000e+000	1.000000e+000	4.811225e+000
1.900000000000002e+000	1.900000e+000	1.000000e+000	4.812616e+000
1.910000000000002e+000	1.910000e+000	1.000000e+000	4.814033e+000
1.920000000000002e+000	1.920000e+000	1.000000e+000	4.815475e+000
1.930000000000002e+000	1.930000e+000	1.000000e+000	4.816942e+000
1.940000000000002e+000	1.940000e+000	1.000000e+000	4.818432e+000
1.950000000000002e+000	1.950000e+000	1.000000e+000	4.819945e+000
1.960000000000002e+000	1.960000e+000	1.000000e+000	4.821478e+000
1.970000000000002e+000	1.970000e+000	1.000000e+000	4.823031e+000
1.980000000000002e+000	1.980000e+000	1.000000e+000	4.824603e+000
1.990000000000002e+000	1.990000e+000	1.000000e+000	4.826192e+000
2.000000000000001e+000	2.000000e+000	1.000000e+000	4.827797e+000
2.010000000000001e+000	2.010000e+000	1.000000e+000	4.829417e+000
2.020000000000001e+000	2.020000e+000	1.000000e+000	4.831051e+000
2.030000000000001e+000	2.030000e+000	1.000000e+000	4.832698e+000
