V_dm,I_out
-0.56594323873121866,3.51e-05
-0.56260434056761266,3.51e-05
-0.55926544240400666,3.51e-05
-0.55592654424040067,3.51e-05
-0.55258764607679467,3.51e-05
-0.54924874791318867,3.51e-05
-0.54590984974958268,3.51e-05
-0.54257095158597668,3.51e-05
-0.53923205342237068,3.51e-05
-0.53589315525876458,3.51e-05
-0.53255425709515858,3.51e-05
-0.52921535893155258,3.51e-05
-0.52587646076794659,3.51e-05
-0.52253756260434048,3.51e-05
-0.51919866444073448,3.51e-05
-0.51585976627712848,3.51e-05
-0.51252086811352249,3.51e-05
-0.50918196994991649,3.51e-05
-0.50584307178631049,3.51e-05
-0.5025041736227045,3.51e-05
-0.4991652754590985,3.51e-05
-0.4958263772954925,3.51e-05
-0.49248747913188651,3.5e-05
-0.4891485809682804,3.51e-05
-0.4858096828046744,3.5e-05
-0.48247078464106841,3.51e-05
-0.47913188647746241,3.51e-05
-0.47579298831385641,3.51e-05
-0.47245409015025042,3.51e-05
-0.46911519198664442,3.51e-05
-0.46577629382303842,3.5e-05
-0.46243739565943243,3.5e-05
-0.45909849749582632,3.5e-05
-0.45575959933222032,3.5e-05
-0.45242070116861433,3.5e-05
-0.44908180300500833,3.5e-05
-0.44574290484140233,3.5e-05
-0.44240400667779634,3.5e-05
-0.43906510851419034,3.5e-05
-0.43572621035058434,3.5e-05
-0.43238731218697823,3.5e-05
-0.42904841402337224,3.5e-05
-0.42570951585976624,3.5e-05
-0.42237061769616024,3.5e-05
-0.41903171953255425,3.5e-05
-0.41569282136894825,3.49e-05
-0.41235392320534225,3.49e-05
-0.40901502504173626,3.49e-05
-0.40567612687813015,3.49e-05
-0.40233722871452415,3.49e-05
-0.39899833055091816,3.49e-05
-0.39565943238731216,3.49e-05
-0.39232053422370616,3.49e-05
-0.38898163606010017,3.49e-05
-0.38564273789649417,3.48e-05
-0.38230383973288817,3.48e-05
-0.37896494156928207,3.48e-05
-0.37562604340567607,3.4699999999999996e-05
-0.37228714524207007,3.4699999999999996e-05
-0.36894824707846408,3.4699999999999996e-05
-0.36560934891485808,3.46e-05
-0.36227045075125208,3.46e-05
-0.35893155258764609,3.45e-05
-0.35559265442404009,3.45e-05
-0.35225375626043409,3.45e-05
-0.34891485809682798,3.4399999999999996e-05
-0.34557595993322199,3.4399999999999996e-05
-0.34223706176961599,3.43e-05
-0.33889816360600999,3.42e-05
-0.335559265442404,3.42e-05
-0.332220367278798,3.4099999999999995e-05
-0.328881469115192,3.4e-05
-0.32554257095158601,3.4e-05
-0.3222036727879799,3.39e-05
-0.3188647746243739,3.38e-05
-0.31552587646076791,3.37e-05
-0.31218697829716191,3.36e-05
-0.30884808013355591,3.35e-05
-0.30550918196994992,3.34e-05
-0.30217028380634392,3.32e-05
-0.29883138564273792,3.31e-05
-0.29549248747913182,3.2999999999999996e-05
-0.29215358931552582,3.29e-05
-0.28881469115191982,3.2699999999999995e-05
-0.28547579298831383,3.26e-05
-0.28213689482470783,3.24e-05
-0.27879799666110183,3.23e-05
-0.27545909849749584,3.21e-05
-0.27212020033388984,3.1899999999999996e-05
-0.26878130217028373,3.17e-05
-0.26544240400667773,3.1599999999999996e-05
-0.26210350584307174,3.13e-05
-0.25876460767946574,3.12e-05
-0.25542570951585974,3.09e-05
-0.25208681135225375,3.07e-05
-0.24874791318864775,3.05e-05
-0.24540901502504175,3.0299999999999998e-05
-0.24207011686143576,3.01e-05
-0.23873121869782965,2.98e-05
-0.23539232053422365,2.9599999999999998e-05
-0.23205342237061766,2.9299999999999997e-05
-0.22871452420701166,2.91e-05
-0.22537562604340566,2.88e-05
-0.22203672787979967,2.8499999999999998e-05
-0.21869782971619367,2.83e-05
-0.21535893155258767,2.8e-05
-0.21202003338898157,2.77e-05
-0.20868113522537557,2.74e-05
-0.20534223706176957,2.7099999999999998e-05
-0.20200333889816358,2.6799999999999998e-05
-0.19866444073455758,2.65e-05
-0.19532554257095158,2.62e-05
-0.19198664440734559,2.58e-05
-0.18864774624373959,2.55e-05
-0.18530884808013348,2.52e-05
-0.18196994991652748,2.48e-05
-0.17863105175292149,2.44e-05
-0.17529215358931549,2.41e-05
-0.17195325542570949,2.37e-05
-0.1686143572621035,2.33e-05
-0.1652754590984975,2.2899999999999998e-05
-0.1619365609348915,2.2499999999999998e-05
-0.1585976627712854,2.21e-05
-0.1552587646076794,2.17e-05
-0.1519198664440734,2.13e-05
-0.14858096828046741,2.0799999999999997e-05
-0.14524207011686141,2.0399999999999998e-05
-0.14190317195325541,1.9999999999999998e-05
-0.13856427378964942,1.95e-05
-0.13522537562604342,1.91e-05
-0.13188647746243742,1.87e-05
-0.12854757929883132,1.82e-05
-0.12520868113522532,1.77e-05
-0.12186978297161932,1.73e-05
-0.11853088480801333,1.68e-05
-0.11519198664440733,1.63e-05
-0.11185308848080133,1.59e-05
-0.10851419031719534,1.5399999999999998e-05
-0.10517529215358934,1.49e-05
-0.10183639398998323,1.45e-05
-0.098497495826377235,1.4e-05
-0.095158597662771238,1.35e-05
-0.091819699499165242,1.31e-05
-0.088480801335559245,1.2499999999999999e-05
-0.085141903171953248,1.2e-05
-0.081803005008347252,1.1599999999999999e-05
-0.078464106844741255,1.1e-05
-0.075125208681135147,1.05e-05
-0.07178631051752915,9.999999999999999e-06
-0.068447412353923154,1.03e-05
-0.065108514190317157,9.76e-06
-0.06176961602671116,9.280000000000001e-06
-0.058430717863105164,8.7e-06
-0.055091819699499167,8.13e-06
-0.05175292153589317,7.64e-06
-0.048414023372287063,7.06e-06
-0.045075125208681066,6.47e-06
-0.041736227045075069,5.8800000000000005e-06
-0.038397328881469073,5.38e-06
-0.035058430717863076,4.79e-06
-0.031719532554257079,4.19e-06
-0.028380634390651083,3.67e-06
-0.025041736227045086,3.0700000000000003e-06
-0.021702838063439089,2.47e-06
-0.018363939899832982,1.94e-06
-0.015025041736226985,1.34e-06
-0.011686143572620988,8.01e-07
-0.0083472454090149917,2.63e-07
-0.005008347245408995,-3.56e-07
-0.0016694490818029983,-9.7e-07
0.0016694490818029983,-1.5100000000000002e-06
0.005008347245408995,-2.18e-06
0.0083472454090149917,-2.77e-06
0.011686143572620988,-3.2900000000000003e-06
0.015025041736226985,-3.89e-06
0.018363939899832982,-4.49e-06
0.0217028380634392,-5.02e-06
0.025041736227045197,-5.63e-06
0.028380634390651194,-6.2300000000000005e-06
0.03171953255425719,-6.75e-06
0.035058430717863187,-7.36e-06
0.038397328881469184,-7.95e-06
0.04173622704507518,-8.48e-06
0.045075125208681177,-9.08e-06
0.048414023372287174,-9.69e-06
0.05175292153589317,-1.029e-05
0.055091819699499167,-1.08e-05
0.058430717863105164,-1.1400000000000001e-05
0.06176961602671116,-1.199e-05
0.065108514190317157,-1.252e-05
0.068447412353923154,-1.312e-05
0.07178631051752915,-1.373e-05
0.075125208681135147,-1.4240000000000001e-05
0.078464106844741366,-1.485e-05
0.081803005008347363,-1.544e-05
0.085141903171953359,-1.595e-05
0.088480801335559356,-1.654e-05
0.091819699499165353,-1.713e-05
0.095158597662771349,-1.762e-05
0.098497495826377346,-1.8200000000000002e-05
0.10183639398998334,-1.877e-05
0.10517529215358934,-1.9260000000000002e-05
0.10851419031719534,-1.982e-05
0.11185308848080133,-2.1499999999999997e-05
0.11519198664440733,-2.19e-05
0.11853088480801333,-2.24e-05
0.12186978297161932,-2.2899999999999998e-05
0.12520868113522532,-2.34e-05
0.12854757929883132,-2.4e-05
0.13188647746243753,-2.45e-05
