V_out,I_out
2.3115577889447239,-1.3e-07
2.3366834170854274,-1.02e-07
2.3618090452261309,-7.68e-08
2.3869346733668344,-4.31e-08
2.4120603015075379,-1.54e-08
2.4371859296482414,4.5e-09
2.4623115577889449,3.3700000000000004e-08
2.4874371859296485,5.85e-08
2.512562814070352,8.93e-08
2.5376884422110555,1.1410000000000001e-07
2.562814070351759,1.1500000000000001e-07
2.5879396984924625,1.43e-07
2.613065326633166,1.66e-07
2.6381909547738696,1.8800000000000002e-07
2.6633165829145731,2.1800000000000002e-07
2.6884422110552766,2.41e-07
2.7135678391959801,2.62e-07
2.7386934673366836,2.9000000000000003e-07
2.7638190954773871,3.18e-07
2.7889447236180906,3.37e-07
2.8140703517587942,3.6400000000000003e-07
2.8391959798994977,3.96e-07
2.8643216080402012,4.1400000000000003e-07
2.8894472361809047,4.6000000000000004e-07
2.9145728643216082,4.71e-07
2.9396984924623117,4.970000000000001e-07
2.9648241206030153,5.2e-07
2.9899497487437188,5.48e-07
3.0150753768844223,5.730000000000001e-07
3.0402010050251258,6.000000000000001e-07
3.0653266331658293,6.240000000000001e-07
3.0904522613065328,6.480000000000001e-07
3.1155778894472363,6.75e-07
3.1407035175879399,7.040000000000001e-07
3.1658291457286434,7.29e-07
3.1909547738693469,7.47e-07
3.2160804020100504,7.81e-07
3.2412060301507539,8.04e-07
3.2663316582914574,8.29e-07
3.291457286432161,8.580000000000001e-07
3.3165829145728645,8.820000000000001e-07
3.341708542713568,9.100000000000001e-07
3.3668341708542715,9.39e-07
3.391959798994975,9.660000000000002e-07
3.4170854271356785,9.880000000000001e-07
3.442211055276382,1.021e-06
3.4673366834170856,1.054e-06
3.4924623115577891,1.085e-06
3.5175879396984926,1.1070000000000002e-06
3.5427135678391961,1.134e-06
3.5678391959798996,1.162e-06
3.5929648241206031,1.2050000000000001e-06
3.6180904522613067,1.219e-06
3.6432160804020102,1.25e-06
3.6683417085427137,1.28e-06
3.6934673366834172,1.306e-06
3.7185929648241207,1.3350000000000001e-06
3.7437185929648242,1.373e-06
3.7688442211055277,1.3940000000000001e-06
3.7939698492462313,1.4230000000000002e-06
3.8190954773869348,1.455e-06
3.8442211055276383,1.494e-06
3.8693467336683418,1.5210000000000001e-06
3.8944723618090453,1.554e-06
3.9195979899497488,1.59e-06
3.9447236180904524,1.621e-06
3.9698492462311559,1.6510000000000002e-06
3.9949748743718594,1.684e-06
4.0201005025125633,1.7660000000000001e-06
4.0452261306532664,1.7890000000000002e-06
4.0703517587939704,1.8340000000000001e-06
4.0954773869346734,1.864e-06
4.1206030150753774,1.898e-06
4.1457286432160805,1.934e-06
4.1708542713567844,1.9710000000000003e-06
4.1959798994974875,1.94e-06
4.2211055276381915,1.99e-06
4.2462311557788945,2.02e-06
4.2713567839195985,2.08e-06
4.2964824120603016,2.12e-06
4.3216080402010055,2.16e-06
4.3467336683417086,2.2e-06
4.3718592964824126,2.25e-06
4.3969849246231156,2.29e-06
4.4221105527638196,2.34e-06
4.4472361809045227,2.38e-06
4.4723618090452266,2.4500000000000003e-06
4.4974874371859297,2.51e-06
4.5226130653266337,2.58e-06
4.5477386934673367,2.68e-06
4.5728643216080407,2.77e-06
4.5979899497487438,2.89e-06
4.6231155778894477,3.05e-06
4.6482412060301508,3.26e-06
4.6733668341708547,3.5600000000000002e-06
4.6984924623115578,3.97e-06
4.7236180904522618,4.48e-06
4.7487437185929648,5.1700000000000005e-06
4.7738693467336688,6.12e-06
4.7989949748743719,7.18e-06
4.8241206030150758,8.44e-06
4.8492462311557789,9.94e-06
4.8743718592964829,1.162e-05
4.8994974874371859,1.355e-05
4.9246231155778899,1.569e-05
4.949748743718593,1.805e-05
4.9748743718592969,2.0399999999999998e-05
5.0,2.33e-05
