V_in(Ch1),V_out(Ch2)
1.6338582677165354,0.97
1.6535433070866141,0.99
1.6732283464566928,1.0090000000000001
1.6929133858267715,1.028
1.7125984251968505,1.047
1.7322834645669292,1.066
1.7519685039370079,1.085
1.7716535433070866,1.105
1.7913385826771653,1.125
1.811023622047244,1.143
1.8307086614173229,1.162
1.8503937007874016,1.181
1.8700787401574803,1.2
1.889763779527559,1.22
1.9094488188976377,1.239
1.9291338582677164,1.258
1.9488188976377951,1.2770000000000001
1.9685039370078741,1.296
1.9881889763779528,1.315
2.0078740157480315,1.341
2.0275590551181102,1.361
2.0472440944881889,1.3800000000000001
2.0669291338582676,1.399
2.0866141732283463,1.419
2.106299212598425,1.437
2.1259842519685037,1.456
2.1456692913385829,1.475
2.1653543307086616,1.494
2.1850393700787403,1.5130000000000001
2.204724409448819,1.5330000000000001
2.2244094488188977,1.552
2.2440944881889764,1.572
2.2637795275590551,1.592
2.2834645669291338,1.611
2.3031496062992125,1.631
2.3228346456692912,1.6500000000000001
2.3425196850393699,1.67
2.3622047244094486,1.688
2.3818897637795273,1.707
2.4015748031496065,1.727
2.4212598425196852,1.745
2.4409448818897639,1.764
2.4606299212598426,1.784
2.4803149606299213,1.803
2.5,1.823
2.5196850393700787,1.843
2.5393700787401574,1.862
2.5590551181102361,1.8820000000000001
2.5787401574803148,1.901
2.5984251968503935,1.919
2.6181102362204722,1.938
2.6377952755905509,1.957
2.6574803149606301,1.975
2.6771653543307088,1.994
2.6968503937007875,2.02
2.7165354330708662,2.04
2.7362204724409449,2.058
2.7559055118110236,2.078
2.7755905511811023,2.098
2.795275590551181,2.118
2.8149606299212597,2.138
2.8346456692913384,2.158
2.8543307086614171,2.176
2.8740157480314958,2.196
2.8937007874015745,2.214
2.9133858267716537,2.232
2.9330708661417324,2.2520000000000002
2.9527559055118111,2.2720000000000002
2.9724409448818898,2.2920000000000003
2.9921259842519685,2.312
3.0118110236220472,2.332
3.0314960629921259,2.352
3.0511811023622046,2.372
3.0708661417322833,2.392
3.090551181102362,2.412
3.1102362204724407,2.43
3.1299212598425195,2.45
3.1496062992125982,2.47
3.1692913385826773,2.488
3.188976377952756,2.508
3.2086614173228347,2.528
3.2283464566929134,2.548
3.2480314960629921,2.568
3.2677165354330708,2.586
3.2874015748031495,2.606
3.3070866141732282,2.626
3.326771653543307,2.646
3.3464566929133857,2.664
3.3661417322834644,2.684
3.3858267716535431,2.704
3.4055118110236222,2.724
3.4251968503937009,2.742
3.4448818897637796,2.762
3.4645669291338583,2.782
3.484251968503937,2.8000000000000003
3.5039370078740157,2.82
3.5236220472440944,2.84
3.5433070866141732,2.86
3.5629921259842519,2.88
3.5826771653543306,2.9
3.6023622047244093,2.92
3.622047244094488,2.938
3.6417322834645667,2.958
3.6614173228346458,2.976
3.6811023622047245,2.996
3.7007874015748032,3.016
3.7204724409448819,3.032
3.7401574803149606,3.052
3.7598425196850394,3.072
3.7795275590551181,3.092
3.7992125984251968,3.112
3.8188976377952755,3.132
3.8385826771653542,3.152
3.8582677165354329,3.17
3.8779527559055116,3.19
3.8976377952755903,3.208
3.9173228346456694,3.226
3.9370078740157481,3.246
3.9566929133858268,3.266
3.9763779527559056,3.2840000000000003
3.9960629921259843,3.3040000000000003
4.015748031496063,3.338
4.0354330708661417,3.358
4.0551181102362204,3.376
4.0748031496062991,3.396
4.0944881889763778,3.416
4.1141732283464565,3.434
4.1338582677165352,3.454
4.1535433070866139,3.47
4.1732283464566926,3.492
4.1929133858267713,3.512
4.21259842519685,3.5300000000000002
4.2322834645669287,3.5500000000000003
4.2519685039370074,3.5700000000000003
4.2716535433070861,3.59
4.2913385826771657,3.61
4.3110236220472444,3.628
4.3307086614173231,3.648
4.3503937007874018,3.668
4.3700787401574805,3.688
4.3897637795275593,3.706
4.409448818897638,3.726
4.4291338582677167,3.746
4.4488188976377954,3.766
4.4685039370078741,3.7840000000000003
4.4881889763779528,3.8040000000000003
4.5078740157480315,3.8240000000000003
4.5275590551181102,3.842
4.5472440944881889,3.862
4.5669291338582676,3.882
