v1	V(v_1)	V(v_2)	I(V3)
-8.499999999999999e-001	1.650000e+000	2.500000e+000	-6.558313e-005
-8.489999999999999e-001	1.651000e+000	2.500000e+000	-6.550892e-005
-8.479999999999999e-001	1.652000e+000	2.500000e+000	-6.543463e-005
-8.469999999999999e-001	1.653000e+000	2.500000e+000	-6.536025e-005
-8.459999999999999e-001	1.654000e+000	2.500000e+000	-6.528579e-005
-8.449999999999999e-001	1.655000e+000	2.500000e+000	-6.521124e-005
-8.439999999999999e-001	1.656000e+000	2.500000e+000	-6.513661e-005
-8.429999999999999e-001	1.657000e+000	2.500000e+000	-6.506190e-005
-8.419999999999999e-001	1.658000e+000	2.500000e+000	-6.498710e-005
-8.409999999999999e-001	1.659000e+000	2.500000e+000	-6.491222e-005
-8.399999999999999e-001	1.660000e+000	2.500000e+000	-6.483725e-005
-8.389999999999999e-001	1.661000e+000	2.500000e+000	-6.476221e-005
-8.379999999999999e-001	1.662000e+000	2.500000e+000	-6.468708e-005
-8.369999999999999e-001	1.663000e+000	2.500000e+000	-6.461186e-005
-8.359999999999999e-001	1.664000e+000	2.500000e+000	-6.453656e-005
-8.349999999999999e-001	1.665000e+000	2.500000e+000	-6.446118e-005
-8.339999999999999e-001	1.666000e+000	2.500000e+000	-6.438571e-005
-8.329999999999999e-001	1.667000e+000	2.500000e+000	-6.431017e-005
-8.319999999999999e-001	1.668000e+000	2.500000e+000	-6.423454e-005
-8.309999999999999e-001	1.669000e+000	2.500000e+000	-6.415883e-005
-8.299999999999999e-001	1.670000e+000	2.500000e+000	-6.408303e-005
-8.289999999999999e-001	1.671000e+000	2.500000e+000	-6.400715e-005
-8.279999999999999e-001	1.672000e+000	2.500000e+000	-6.393119e-005
-8.269999999999999e-001	1.673000e+000	2.500000e+000	-6.385515e-005
-8.259999999999999e-001	1.674000e+000	2.500000e+000	-6.377903e-005
-8.249999999999998e-001	1.675000e+000	2.500000e+000	-6.370282e-005
-8.239999999999998e-001	1.676000e+000	2.500000e+000	-6.362653e-005
-8.229999999999998e-001	1.677000e+000	2.500000e+000	-6.355016e-005
-8.219999999999998e-001	1.678000e+000	2.500000e+000	-6.347370e-005
-8.209999999999998e-001	1.679000e+000	2.500000e+000	-6.339716e-005
-8.199999999999998e-001	1.680000e+000	2.500000e+000	-6.332055e-005
-8.189999999999998e-001	1.681000e+000	2.500000e+000	-6.324385e-005
-8.179999999999998e-001	1.682000e+000	2.500000e+000	-6.316707e-005
-8.169999999999998e-001	1.683000e+000	2.500000e+000	-6.309021e-005
-8.159999999999998e-001	1.684000e+000	2.500000e+000	-6.301326e-005
-8.149999999999998e-001	1.685000e+000	2.500000e+000	-6.293623e-005
-8.139999999999998e-001	1.686000e+000	2.500000e+000	-6.285912e-005
-8.129999999999998e-001	1.687000e+000	2.500000e+000	-6.278193e-005
-8.119999999999998e-001	1.688000e+000	2.500000e+000	-6.270466e-005
-8.109999999999998e-001	1.689000e+000	2.500000e+000	-6.262731e-005
-8.099999999999998e-001	1.690000e+000	2.500000e+000	-6.254988e-005
-8.089999999999998e-001	1.691000e+000	2.500000e+000	-6.247236e-005
-8.079999999999998e-001	1.692000e+000	2.500000e+000	-6.239476e-005
-8.069999999999998e-001	1.693000e+000	2.500000e+000	-6.231709e-005
-8.059999999999998e-001	1.694000e+000	2.500000e+000	-6.223933e-005
-8.049999999999998e-001	1.695000e+000	2.500000e+000	-6.216149e-005
-8.039999999999998e-001	1.696000e+000	2.500000e+000	-6.208356e-005
-8.029999999999998e-001	1.697000e+000	2.500000e+000	-6.200557e-005
