V_out,I_out
4.7487437185929648,5.560000000000001e-07
4.7738693467336688,6.01e-07
4.7989949748743719,6.74e-07
4.8241206030150758,7.900000000000001e-07
4.8492462311557789,9.7e-07
4.8743718592964829,1.2510000000000002e-06
4.8994974874371859,1.6570000000000002e-06
4.9246231155778899,2.26e-06
4.949748743718593,3.06e-06
4.9748743718592969,4.09e-06
5.0,5.3e-06
