V_source,I_channel
1.6032064128256511,-0.0017400000000000002
1.6132264529058116,-0.0017000000000000001
1.6232464929859718,-0.00167
1.6332665330661322,-0.0016600000000000002
1.6432865731462925,-0.0016400000000000002
1.6533066132264529,-0.0016200000000000001
1.6633266533066131,-0.00161
1.6733466933867736,-0.0016
1.6833667334669338,-0.00159
1.6933867735470942,-0.00159
1.7034068136272544,-0.00159
1.7134268537074147,-0.00161
1.7234468937875751,-0.0016
1.7334669338677353,-0.00158
1.7434869739478958,-0.00158
1.753507014028056,-0.00159
1.7635270541082164,-0.0016200000000000001
1.7735470941883766,-0.0016500000000000002
1.7835671342685371,-0.0016400000000000002
1.7935871743486973,-0.0016200000000000001
1.8036072144288577,-0.0016
1.813627254509018,-0.00151
1.8236472945891782,-0.0014800000000000002
1.8336673346693386,-0.0015
